ReleaseID,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,IsBuggy
3,25,0,6,2,0,4,1,1,25,0,25,25,0,yes
4,26,0,6,2,0,4,2,2,26,0,25,13,0,yes
4,3,0,0,0,0,0,1,1,3,0,3,3,0,no
5,26,0,6,2,0,4,4,2,28,2,25,7.5,1,yes
3,3,0,0,0,0,0,1,1,3,0,3,3,0,no
5,2,1,1,1,0,0,1,1,2,0,2,2,0,no
3,0,2,0,0,0,0,1,1,0,0,0,0,0,no
4,2,1,1,1,0,0,1,1,2,0,2,2,0,no
4,0,2,0,0,0,0,1,1,0,0,0,0,0,no
2,0,2,0,0,0,0,1,1,0,0,0,0,0,no
3,0,0,0,0,0,0,1,1,1,0,1,1,0,no
4,0,0,0,0,0,0,1,1,1,0,1,1,1,no
5,0,2,0,0,0,0,1,1,0,0,0,0,0,no
5,3,0,0,0,0,0,1,1,3,0,3,3,0,no
2,1,1,0,0,0,0,1,1,1,0,1,1,0,no
3,1,0,0,0,0,0,1,1,1,0,1,1,0,no
4,1,0,0,0,0,0,1,1,1,0,1,1,0,no
5,1,0,0,0,0,0,1,1,1,0,1,1,0,no
5,0,0,0,0,0,0,1,1,1,0,1,1,1,no
5,8,1,4,2,0,1,2,2,8,0,8,4,1,no
4,8,1,4,2,0,1,2,2,8,0,8,4,1,no
1,1,0,0,0,0,0,1,1,1,0,1,1,0,no
2,1,0,0,0,0,0,1,1,1,0,1,1,0,no
3,8,1,4,2,0,1,2,2,8,0,8,4,0,no
2,8,1,4,2,0,1,1,1,8,0,8,8,0,yes
1,8,1,4,2,0,1,1,1,8,0,8,8,0,yes
2,1,1,0,0,0,0,1,1,1,0,1,1,0,no
2,1,0,0,0,0,0,1,1,1,0,1,1,0,no
1,1,0,0,0,0,0,1,1,1,0,1,1,0,no
3,1,1,0,0,0,0,1,1,1,0,1,1,0,no
1,1,1,0,0,0,0,1,1,1,0,1,1,0,no
5,1,0,0,0,0,0,1,1,1,0,1,1,0,no
4,1,0,0,0,0,0,1,1,1,0,1,1,0,no
3,1,0,0,0,0,0,1,1,1,0,1,1,0,no
3,0,0,0,0,0,0,1,1,0,0,0,0,0,no
4,0,0,0,0,0,0,1,1,0,0,0,0,0,no
5,0,0,0,0,0,0,1,1,0,0,0,0,0,no
3,7,2,1,1,0,1,2,2,7,0,7,3.5,0,no
3,0,6,0,0,0,0,1,1,0,0,0,0,0,no
4,7,2,1,1,0,1,2,2,7,0,7,3.5,0,no
2,6,5,2,2,0,0,2,2,6,0,5,3,0,no
5,7,2,1,1,0,1,2,2,7,0,7,3.5,0,no
1,6,5,2,2,0,0,2,2,6,0,5,3,0,no
5,0,6,0,0,0,0,1,1,0,0,0,0,0,no
4,0,6,0,0,0,0,1,1,0,0,0,0,0,no
3,1,0,0,0,0,0,1,1,1,0,1,1,0,no
4,1,0,0,0,0,0,1,1,1,0,1,1,0,no
5,1,0,0,0,0,0,1,1,1,0,1,1,0,no
1,7,2,1,1,0,1,2,2,7,0,7,3.5,0,no
2,7,2,1,1,0,1,2,2,7,0,7,3.5,0,no
3,1,0,0,0,0,0,1,1,1,0,1,1,0,no
4,1,0,0,0,0,0,1,1,1,0,1,1,0,yes
5,1,0,0,0,0,0,2,2,1,0,1,0.5,0,no
3,3,0,0,0,0,1,2,1,3,0,3,1.5,0,no
4,3,0,0,0,0,1,2,1,3,0,3,1.5,0,no
1,3,0,0,0,0,1,1,1,3,0,3,3,0,no
2,3,0,0,0,0,1,1,1,3,0,3,3,0,no
5,3,0,0,0,0,1,2,1,3,0,3,1.5,0,no
4,0,2,0,0,0,0,1,1,0,0,0,0,0,no
