ReleaseID,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,IsBuggy
24,15,1,6,6,0,4,1,1,15,0,15,15,0,no
24,35,2,5,1,0,5,1,1,35,0,35,35,0,no
25,35,2,5,1,0,5,1,1,35,0,35,35,0,no
27,35,2,5,1,0,5,1,1,35,0,35,35,0,no
28,35,2,5,1,0,5,1,1,35,0,35,35,0,no
29,35,2,5,1,0,5,1,1,35,0,35,35,0,no
21,115,1,35,5,0,19,6,2,127,12,112,23.1667,1,no
20,115,1,35,5,0,19,6,2,127,12,112,23.1667,1,no
19,115,1,35,5,0,19,6,2,127,12,112,23.1667,0,no
5,84,3,35,4,0,14,2,1,84,0,68,42,0,no
10,39,2,2,2,0,6,2,2,78,0,39,39,1,no
11,39,2,2,2,0,6,2,2,78,0,39,39,1,no
12,39,2,2,2,0,6,6,3,78,0,39,13,1,no
13,39,2,2,2,0,6,6,3,78,0,39,13,1,no
14,39,2,2,2,0,6,8,3,78,0,39,9.75,1,no
15,39,2,2,2,0,6,9,3,78,0,39,8.6667,1,no
16,39,2,2,2,0,6,9,3,78,0,39,8.6667,1,no
17,39,2,2,2,0,6,9,3,78,0,39,8.6667,1,no
18,39,2,2,2,0,6,9,3,78,0,39,8.6667,1,no
19,39,2,2,2,0,6,10,4,78,0,39,7.8,1,no
20,39,2,2,2,0,6,10,4,78,0,39,7.8,1,no
21,39,2,2,2,0,6,10,4,78,0,39,7.8,1,no
22,39,2,2,2,0,6,10,4,78,0,39,7.8,1,no
23,39,2,2,2,0,6,10,4,78,0,39,7.8,1,no
26,39,2,2,2,0,6,10,4,78,0,39,7.8,1,no
10,27,1,10,2,0,2,5,2,61,7,29,13.6,0,yes
11,27,1,10,2,0,2,5,2,61,7,29,13.6,0,yes
12,27,1,10,2,0,2,5,2,61,7,29,13.6,0,yes
13,27,1,10,2,0,2,5,2,61,7,29,13.6,0,yes
14,27,1,10,2,0,2,7,2,61,7,29,9.7143,0,no
15,27,1,10,2,0,2,7,2,61,7,29,9.7143,1,no
16,37,1,16,2,0,6,9,2,81,7,29,9.7778,1,no
17,37,1,16,2,0,6,9,2,81,7,29,9.7778,1,no
18,37,1,16,2,0,6,9,2,81,7,29,9.7778,1,no
19,32,1,13,2,0,6,11,2,82,13,29,8.6364,1,no
20,32,1,13,2,0,6,11,2,82,13,29,8.6364,1,no
21,32,1,13,2,0,6,11,2,82,13,29,8.6364,1,no
22,32,1,13,2,0,6,11,2,82,13,29,8.6364,1,no
23,32,1,13,2,0,6,11,2,82,13,29,8.6364,1,no
26,32,1,13,2,0,6,11,2,82,13,29,8.6364,1,no
23,115,4,52,7,0,34,4,1,115,0,102,28.75,0,yes
26,120,4,50,7,0,31,5,2,120,0,102,24,1,no
5,32,1,10,1,0,1,1,1,32,0,32,32,0,no
6,32,1,10,1,0,1,4,1,64,0,32,16,0,no
7,32,1,10,1,0,1,4,1,64,0,32,16,0,no
8,32,1,10,1,0,1,4,1,64,0,32,16,0,no
9,32,1,10,1,0,1,5,1,96,0,32,19.2,0,no
20,115,4,52,7,0,34,4,1,115,0,102,28.75,0,no
21,115,4,52,7,0,34,4,1,115,0,102,28.75,0,no
22,115,4,52,7,0,34,4,1,115,0,102,28.75,0,no
19,115,4,52,7,0,34,4,1,115,0,102,28.75,0,no
17,28,1,6,4,0,7,3,1,56,0,28,18.6667,0,no
18,28,1,6,4,0,7,3,1,56,0,28,18.6667,0,no
19,28,1,6,4,0,6,5,1,56,1,28,11.4,0,no
13,28,1,6,4,0,7,3,1,56,0,28,18.6667,0,no
14,28,1,6,4,0,7,3,1,56,0,28,18.6667,0,no
15,28,1,6,4,0,7,3,1,56,0,28,18.6667,0,no
16,28,1,6,4,0,7,3,1,56,0,28,18.6667,0,no
10,28,1,6,4,0,7,3,1,56,0,28,18.6667,0,no
11,28,1,6,4,0,7,3,1,56,0,28,18.6667,0,no
12,28,1,6,4,0,7,3,1,56,0,28,18.6667,0,no
26,28,1,6,4,0,6,5,1,56,1,28,11.4,0,no
20,28,1,6,4,0,6,5,1,56,1,28,11.4,0,no
21,28,1,6,4,0,6,5,1,56,1,28,11.4,0,no
22,28,1,6,4,0,6,5,1,56,1,28,11.4,0,no
23,28,1,6,4,0,6,5,1,56,1,28,11.4,0,no
28,49,3,23,3,0,5,3,1,55,6,55,20.3333,0,yes
29,49,3,23,3,0,5,3,1,55,6,55,20.3333,1,yes
27,24,1,7,4,0,7,2,2,48,0,24,24,0,no
28,24,1,7,4,0,7,2,2,48,0,24,24,0,no
29,24,1,7,4,0,7,2,2,48,0,24,24,0,no
24,22,3,7,2,0,5,1,1,22,0,22,22,0,no
25,22,3,7,2,0,5,3,1,22,0,22,7.3333,0,no
6,58,2,13,4,0,9,1,1,58,0,58,58,0,no
7,61,2,14,4,0,9,3,3,61,0,58,20.3333,0,no
8,61,2,14,4,0,9,3,3,61,0,58,20.3333,0,no
9,61,2,14,4,0,9,4,3,122,0,61,30.5,0,no
28,18,0,6,6,0,1,6,2,34,0,16,5.6667,0,no
29,18,0,6,6,0,1,6,2,34,0,16,5.6667,0,no
27,18,0,6,6,0,1,6,2,34,0,16,5.6667,0,no
5,45,4,14,5,0,5,2,1,45,0,44,22.5,0,no
25,48,2,19,2,0,3,1,1,48,0,48,48,0,no
27,53,2,21,2,0,5,4,2,54,0,48,13.5,0,no
6,53,1,14,3,0,8,2,1,53,0,45,26.5,0,no
7,53,1,14,3,0,8,2,1,53,0,45,26.5,0,no
8,53,1,14,3,0,8,2,1,53,0,45,26.5,0,yes
9,53,1,14,3,0,8,3,1,106,0,53,35.3333,0,yes
29,62,2,31,3,0,8,2,2,124,0,62,62,0,no
27,62,2,31,3,0,8,2,2,124,0,62,62,0,no
28,62,2,31,3,0,8,2,2,124,0,62,62,0,no
24,34,2,10,3,0,6,1,1,1,0,1,1,0,no
23,86,0,24,11,0,6,2,2,172,0,86,86,0,no
24,63,2,30,3,0,9,1,1,63,0,63,63,0,no
20,51,2,3,2,0,7,1,1,51,0,51,51,0,no
21,51,2,3,2,0,7,1,1,51,0,51,51,0,no
22,51,2,3,2,0,7,1,1,51,0,51,51,0,no
23,51,2,3,2,0,7,1,1,51,0,51,51,0,no
26,51,2,3,2,0,7,1,1,51,0,51,51,0,no
4,7,1,1,2,0,2,1,1,7,0,7,7,0,no
5,7,1,1,2,0,2,1,1,7,0,7,7,0,no
19,51,2,3,2,0,7,1,1,51,0,51,51,0,no
1,7,1,1,2,0,2,1,1,7,0,7,7,0,no
2,7,1,1,2,0,2,1,1,7,0,7,7,0,no
3,7,1,1,2,0,2,1,1,7,0,7,7,0,no
18,41,4,15,4,0,8,7,2,111,3,41,16.2857,0,no
14,41,4,15,4,0,8,6,2,111,3,41,19,0,no
15,41,4,15,4,0,8,7,2,111,3,41,16.2857,0,no
16,41,4,15,4,0,8,7,2,111,3,41,16.2857,0,no
17,41,4,15,4,0,8,7,2,111,3,41,16.2857,0,no
10,41,4,15,4,0,8,6,2,111,3,41,19,0,no
11,41,4,15,4,0,8,6,2,111,3,41,19,0,no
12,41,4,15,4,0,8,6,2,111,3,41,19,0,no
13,41,4,15,4,0,8,6,2,111,3,41,19,0,no
27,25,1,9,1,0,0,1,1,25,0,25,25,0,no
26,37,5,13,4,0,9,3,1,42,10,42,17.3333,0,yes
21,37,5,13,4,0,9,3,1,42,10,42,17.3333,0,no
22,37,5,13,4,0,9,3,1,42,10,42,17.3333,0,no
23,37,5,13,4,0,9,3,1,42,10,42,17.3333,0,no
20,37,5,13,4,0,9,3,1,42,10,42,17.3333,0,no
19,42,5,15,4,0,9,1,1,42,0,42,42,0,no
25,72,5,8,5,0,16,1,1,72,0,72,72,0,no
27,72,5,8,5,0,16,1,1,72,0,72,72,0,no
24,6,2,4,3,0,1,1,1,6,0,6,6,0,no
25,6,2,4,3,0,1,1,1,6,0,6,6,0,no
23,22,3,8,2,0,4,4,1,44,0,22,11,0,no
26,22,3,8,2,0,4,4,1,44,0,22,11,0,no
20,22,3,8,2,0,4,4,1,44,0,22,11,0,no
21,22,3,8,2,0,4,4,1,44,0,22,11,0,no
22,22,3,8,2,0,4,4,1,44,0,22,11,0,no
12,22,3,8,2,0,4,3,1,44,0,22,14.6667,0,no
13,22,3,8,2,0,4,3,1,44,0,22,14.6667,0,no
14,22,3,8,2,0,4,3,1,44,0,22,14.6667,0,no
15,22,3,8,2,0,4,4,1,44,0,22,11,0,no
16,22,3,8,2,0,4,4,1,44,0,22,11,0,no
17,22,3,8,2,0,4,4,1,44,0,22,11,0,no
18,22,3,8,2,0,4,4,1,44,0,22,11,0,no
19,22,3,8,2,0,4,4,1,44,0,22,11,0,no
10,22,3,8,2,0,4,3,1,44,0,22,14.6667,0,no
11,22,3,8,2,0,4,3,1,44,0,22,14.6667,0,no
27,20,1,7,1,0,0,6,2,40,0,17,6.6667,0,no
28,20,1,7,1,0,0,8,2,40,0,17,5,0,no
29,20,1,7,1,0,0,8,2,40,0,17,5,0,no
24,31,1,2,2,0,3,1,1,31,0,31,31,0,no
5,9,1,2,1,0,0,2,2,9,0,9,4.5,0,no
6,9,1,2,1,0,0,2,2,9,0,9,4.5,0,no
7,9,1,2,1,0,0,3,2,9,0,9,3,0,no
8,9,1,2,1,0,0,3,2,9,0,9,3,0,no
9,9,1,2,1,0,0,4,2,18,0,9,4.5,0,no
26,26,3,10,2,0,4,7,2,62,8,31,10,0,no
20,26,3,10,2,0,4,7,2,62,8,31,10,0,no
21,26,3,10,2,0,4,7,2,62,8,31,10,0,no
22,26,3,10,2,0,4,7,2,62,8,31,10,0,no
23,26,3,10,2,0,4,7,2,62,8,31,10,0,no
24,36,0,8,4,0,13,1,1,36,0,36,36,0,no
13,31,3,10,2,0,5,2,1,62,0,31,31,0,no
14,31,3,10,2,0,5,4,1,62,0,31,15.5,0,no
27,241,4,28,1,0,27,1,1,241,0,241,241,0,no
15,28,3,10,2,0,5,7,2,62,8,31,10,0,no
16,28,3,10,2,0,5,7,2,62,8,31,10,0,no
10,31,3,10,2,0,5,2,1,62,0,31,31,0,no
11,31,3,10,2,0,5,2,1,62,0,31,31,0,no
12,31,3,10,2,0,5,2,1,62,0,31,31,0,no
25,241,4,28,1,0,27,1,1,241,0,241,241,0,no
17,28,3,10,2,0,5,7,2,62,8,31,10,0,no
18,28,3,10,2,0,5,7,2,62,8,31,10,0,no
19,26,3,10,2,0,4,7,2,62,8,31,10,0,no
20,12,1,5,1,0,1,4,1,32,0,10,8,0,no
21,12,1,5,1,0,1,4,1,32,0,10,8,0,no
22,12,1,5,1,0,1,4,1,32,0,10,8,0,no
23,12,1,5,1,0,1,4,1,32,0,10,8,0,no
26,12,1,5,1,0,1,4,1,32,0,10,8,0,no
25,76,0,4,2,0,11,1,1,76,0,76,76,0,no
27,76,0,4,2,0,11,1,1,76,0,76,76,0,no
10,10,1,4,1,0,1,3,1,30,0,10,10,0,no
11,10,1,4,1,0,1,3,1,30,0,10,10,0,no
12,10,1,4,1,0,1,3,1,30,0,10,10,0,no
13,10,1,4,1,0,1,3,1,30,0,10,10,0,no
14,10,1,4,1,0,1,3,1,30,0,10,10,0,no
15,10,1,4,1,0,1,3,1,30,0,10,10,0,no
16,10,1,4,1,0,1,3,1,30,0,10,10,0,no
17,10,1,4,1,0,1,3,1,30,0,10,10,0,no
18,10,1,4,1,0,1,3,1,30,0,10,10,0,no
19,12,1,5,1,0,1,4,1,32,0,10,8,0,no
8,21,0,8,3,0,3,2,1,21,13,21,17,0,no
9,21,0,8,3,0,3,3,1,29,13,21,14,0,no
5,21,0,8,3,0,3,1,1,21,0,21,21,0,no
6,21,0,8,3,0,3,2,1,21,13,21,17,0,no
7,21,0,8,3,0,3,2,1,21,13,21,17,0,no
25,47,4,5,2,0,11,1,1,47,0,47,47,0,no
27,47,4,5,2,0,11,1,1,47,0,47,47,0,no
28,6,6,0,0,0,1,1,1,6,0,6,6,0,no
29,6,6,0,0,0,1,1,1,6,0,6,6,0,no
15,18,2,7,4,0,3,1,1,18,0,18,18,0,no
16,18,2,7,4,0,3,1,1,18,0,18,18,0,no
17,18,2,7,4,0,3,1,1,18,0,18,18,0,no
18,18,2,7,4,0,3,1,1,18,0,18,18,0,no
15,58,3,9,5,0,11,16,3,126,10,49,8.5,1,yes
16,58,3,9,5,0,11,16,3,126,10,49,8.5,1,yes
17,58,3,9,5,0,11,16,3,126,10,49,8.5,1,yes
18,58,3,9,5,0,11,16,3,126,10,49,8.5,1,yes
11,45,3,9,4,0,8,10,3,100,10,49,11,1,no
12,45,3,9,4,0,8,10,3,100,10,49,11,1,no
13,45,3,9,4,0,8,10,3,100,10,49,11,1,no
14,45,3,9,4,0,8,10,3,100,10,49,11,1,no
10,46,3,9,4,0,8,8,3,100,8,49,13.5,1,no
25,18,1,9,7,0,3,1,1,18,0,18,18,0,no
27,18,1,9,7,0,3,1,1,18,0,18,18,0,no
19,45,1,12,1,0,11,9,2,74,0,28,8.2222,0,yes
20,42,1,12,1,0,11,12,3,74,9,28,6.9167,0,no
21,42,1,12,1,0,11,12,3,74,9,28,6.9167,1,no
22,42,1,12,1,0,11,12,3,74,9,28,6.9167,1,no
23,42,1,12,1,0,11,12,3,74,9,28,6.9167,1,no
24,6,1,2,3,0,2,1,1,6,0,6,6,0,no
25,6,1,2,3,0,2,1,1,6,0,6,6,0,no
8,38,2,9,5,0,10,2,1,66,0,38,33,0,no
13,33,0,8,5,0,5,2,1,66,0,33,33,0,no
10,33,0,8,5,0,5,2,1,66,0,33,33,0,no
11,33,0,8,5,0,5,2,1,66,0,33,33,0,no
12,33,0,8,5,0,5,2,1,66,0,33,33,0,no
24,158,0,2,2,0,26,1,1,158,0,158,158,0,no
27,94,2,30,7,0,21,3,2,95,0,93,31.6667,0,no
28,111,2,34,8,0,25,6,2,112,0,93,18.6667,1,no
29,111,2,34,8,0,25,6,2,112,0,93,18.6667,1,no
27,8,1,3,3,0,1,1,1,8,0,8,8,0,no
5,13,0,3,5,0,2,1,1,13,0,13,13,0,no
6,13,0,3,5,0,2,2,1,26,0,13,13,0,no
27,31,2,11,2,0,6,1,1,31,0,31,31,0,no
28,65,2,23,4,0,19,5,1,65,0,31,13,0,no
29,65,2,23,4,0,19,5,1,65,0,31,13,0,no
3,24,2,10,4,0,7,2,2,24,0,24,12,0,no
4,24,2,10,4,0,7,2,2,24,0,24,12,0,no
2,24,2,10,4,0,7,1,1,24,0,24,24,0,no
1,8,1,2,2,0,2,1,1,8,0,8,8,0,no
2,8,1,2,2,0,2,1,1,8,0,8,8,0,no
3,8,1,2,2,0,2,1,1,8,0,8,8,0,no
4,8,1,2,2,0,2,1,1,8,0,8,8,0,no
20,31,2,10,4,0,4,7,2,60,0,29,8.5714,0,no
21,31,2,10,4,0,4,7,2,60,0,29,8.5714,0,no
27,17,0,5,5,0,1,6,2,32,0,15,5.3333,0,no
28,17,0,5,5,0,1,6,2,32,0,15,5.3333,0,no
29,17,0,5,5,0,1,6,2,32,0,15,5.3333,0,no
12,30,2,14,2,0,1,5,2,67,7,35,14.8,0,no
26,31,2,10,4,0,4,7,2,60,0,29,8.5714,0,no
13,30,2,14,2,0,1,5,2,67,7,35,14.8,0,no
14,30,2,14,2,0,1,5,2,67,7,35,14.8,0,no
15,30,2,14,2,0,1,5,2,67,7,35,14.8,0,yes
16,34,2,14,2,0,3,6,2,71,7,35,13,0,no
22,31,2,10,4,0,4,7,2,60,0,29,8.5714,0,no
17,34,2,14,2,0,3,6,2,71,7,35,13,1,no
23,31,2,10,4,0,4,7,2,60,0,29,8.5714,0,no
18,34,2,14,2,0,3,6,2,71,7,35,13,1,no
10,30,2,14,2,0,1,5,2,67,7,35,14.8,0,no
11,30,2,14,2,0,1,5,2,67,7,35,14.8,0,no
24,38,2,13,4,0,8,1,1,38,0,38,38,0,no
25,39,2,13,4,0,8,3,1,39,0,38,13,0,no
27,55,2,12,5,0,10,9,3,57,0,38,6.3333,0,no
28,56,2,12,5,0,10,12,3,58,0,38,4.8333,0,no
29,56,2,12,5,0,10,12,3,58,0,38,4.8333,0,no
16,2,6,0,0,0,1,1,1,2,0,2,2,0,no
17,2,6,0,0,0,1,1,1,2,0,2,2,1,no
18,2,6,0,0,0,1,1,1,2,0,2,2,1,no
20,1,0,5,5,0,0,3,1,2,0,1,0.6667,0,no
21,1,0,5,5,0,0,3,1,2,0,1,0.6667,0,no
27,46,1,4,1,0,8,1,1,46,0,46,46,0,no
22,1,0,5,5,0,0,3,1,2,0,1,0.6667,0,no
23,1,0,5,5,0,0,3,1,2,0,1,0.6667,0,no
26,1,0,5,5,0,0,4,1,2,0,1,0.5,1,no
25,46,1,4,1,0,8,1,1,46,0,46,46,0,no
12,20,3,7,3,0,7,5,1,42,2,21,8.8,0,yes
13,20,3,7,3,0,7,5,1,42,2,21,8.8,0,yes
19,1,0,5,5,0,0,3,1,2,0,1,0.6667,0,no
14,20,3,7,3,0,7,5,1,42,2,21,8.8,0,yes
15,20,3,7,3,0,7,5,1,42,2,21,8.8,0,yes
16,20,3,7,3,0,7,7,1,42,21,21,9,0,no
17,20,3,7,3,0,7,7,1,42,21,21,9,1,no
18,20,3,7,3,0,7,7,1,42,21,21,9,1,no
10,20,3,7,3,0,7,5,1,42,2,21,8.8,0,yes
11,20,3,7,3,0,7,5,1,42,2,21,8.8,0,yes
24,14,1,7,3,0,1,1,1,14,0,14,14,0,no
24,30,1,7,3,0,9,1,1,30,0,30,30,0,no
25,32,1,6,3,0,8,5,1,33,1,30,6.8,0,no
24,38,2,9,5,0,10,1,1,38,0,38,38,0,no
25,38,2,9,5,0,10,1,1,38,0,38,38,0,no
25,42,4,5,2,0,9,1,1,42,0,42,42,0,no
27,42,4,5,2,0,9,1,1,42,0,42,42,0,no
20,126,0,9,3,0,23,16,5,272,2,128,17.125,1,no
21,126,0,9,3,0,23,16,5,272,2,128,17.125,1,no
22,126,0,9,3,0,23,16,5,272,2,128,17.125,1,no
23,126,0,9,3,0,23,16,5,272,2,128,17.125,1,no
26,126,0,9,3,0,23,16,5,272,2,128,17.125,1,no
10,128,0,9,3,0,23,6,4,272,0,128,45.3333,0,no
11,128,0,9,3,0,23,6,4,272,0,128,45.3333,0,no
12,128,0,9,3,0,23,10,5,272,0,128,27.2,0,no
13,128,0,9,3,0,23,10,5,272,0,128,27.2,0,no
14,128,0,9,3,0,23,11,5,272,0,128,24.7273,0,no
15,128,0,9,3,0,23,11,5,272,0,128,24.7273,0,yes
16,128,0,9,3,0,23,16,5,272,2,128,17.125,0,no
17,128,0,9,3,0,23,16,5,272,2,128,17.125,1,no
18,128,0,9,3,0,23,16,5,272,2,128,17.125,1,no
19,126,0,9,3,0,23,16,5,272,2,128,17.125,1,no
