MethodFullyQualifiedName,ReleaseID,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,IsBuggy
core/misc/src/main/java/org/apache/syncope/core/misc/ConnObjectUtil.java/getConnObjectTO(ConnectorObject),24,15,1,6,6,2,4,1,1,15,0,15,15.0000,0,no
core/src/main/java/org/apache/syncope/core/sync/impl/AbstractSubjectPushResultHandler.java/doHandle(AbstractSubject),21,115,1,35,5,3,19,6,2,127,12,112,23.1667,1,no
core/src/main/java/org/apache/syncope/core/sync/impl/AbstractSubjectPushResultHandler.java/doHandle(AbstractSubject),20,115,1,35,5,3,19,6,2,127,12,112,23.1667,1,no
core/src/main/java/org/apache/syncope/core/sync/impl/AbstractSubjectPushResultHandler.java/doHandle(AbstractSubject),19,115,1,35,5,3,19,6,2,127,12,112,23.1667,0,no
"core/src/main/java/org/apache/syncope/core/util/ConnObjectUtil.java/getAttributableTOFromConnObject(ConnectorObject, SyncTask, AttributableUtil)",5,84,3,35,4,3,14,2,1,84,0,68,42.0000,0,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),10,27,1,10,2,2,2,5,2,61,7,29,13.6000,0,yes
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),11,27,1,10,2,2,2,5,2,61,7,29,13.6000,0,yes
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),12,27,1,10,2,2,2,5,2,61,7,29,13.6000,0,yes
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),13,27,1,10,2,2,2,5,2,61,7,29,13.6000,0,yes
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),14,27,1,10,2,2,2,7,2,61,7,29,9.7143,0,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),15,27,1,10,2,2,2,7,2,61,7,29,9.7143,1,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),16,37,1,16,2,2,6,9,2,81,7,29,9.7778,1,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),17,37,1,16,2,2,6,9,2,81,7,29,9.7778,1,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),18,37,1,16,2,2,6,9,2,81,7,29,9.7778,1,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),19,32,1,13,2,1,6,11,2,82,13,29,8.6364,1,no
"client/old_console/src/main/java/org/apache/syncope/client/console/panels/AttrTemplatesPanel.java/buildPalette(Type, List)",25,22,2,5,1,1,4,1,1,22,0,22,22.0000,0,no
"client/old_console/src/main/java/org/apache/syncope/client/console/panels/AttrTemplatesPanel.java/buildPalette(Type, List)",27,22,2,5,1,1,4,1,1,22,0,22,22.0000,0,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),20,32,1,13,2,1,6,11,2,82,13,29,8.6364,1,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),21,32,1,13,2,1,6,11,2,82,13,29,8.6364,1,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),22,32,1,13,2,1,6,11,2,82,13,29,8.6364,1,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),23,32,1,13,2,1,6,11,2,82,13,29,8.6364,1,no
core/src/main/java/org/apache/syncope/core/rest/data/PolicyDataBinder.java/getPolicyTO(Policy),26,32,1,13,2,1,6,11,2,82,13,29,8.6364,1,no
"core/src/main/java/org/apache/syncope/core/rest/data/AbstractAttributableDataBinder.java/fill(AbstractAttributable, AbstractAttributableMod, AttributableUtil, SyncopeClientCompositeException)",23,115,4,52,7,4,34,4,1,115,0,102,28.7500,0,yes
